Texto,Lema,POS,Tag,Dep,Shape,Alfabético,Stopword
 , ,SPACE,SPACE,dep, ,False,False
-,-,PUNCT,PUNCT,punct,-,False,False
a,o,DET,DET,det,x,True,True
mente,mente,NOUN,NOUN,appos,xxxx,True,False
do,de o,ADP,ADP,mark,xx,True,True
despertar,despertar,VERB,VERB,acl,xxxx,True,False
ou,ou,CCONJ,CCONJ,cc,xx,True,True
",",",",PUNCT,PUNCT,punct,",",False,False
a,o,DET,DET,det,x,True,True
lua,lua,NOUN,NOUN,nsubj,xxx,True,False
crescente,crescente,ADJ,ADJ,amod,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
mente,mente,NOUN,NOUN,nmod,xxxx,True,False
iluminada,iluminado,VERB,VERB,amod,xxxx,True,False
-,-,PUNCT,PUNCT,punct,-,False,False
é,ser,AUX,AUX,cop,x,True,True
a,o,DET,DET,det,x,True,True
fonte,fonte,NOUN,NOUN,conj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
todo,todo,DET,DET,det,xxxx,True,True
bem,bem,ADV,ADV,advmod,xxx,True,True
estar,estar,VERB,VERB,conj,xxxx,True,True
e,e,CCONJ,CCONJ,cc,x,True,True
bem-aventurança,bem-aventurança,NOUN,NOUN,conj,xxx-xxxx,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
A,o,DET,DET,det,X,True,True
bodicita,bodicita,NOUN,NOUN,nsubj,xxxx,True,False
aparece,aparecer,VERB,VERB,ROOT,xxxx,True,False
em,em,ADP,ADP,case,xx,True,True
versos,verso,NOUN,NOUN,obl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
imagens,imagem,NOUN,NOUN,nmod,xxxx,True,False
radiantes,radiante,ADJ,ADJ,amod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
raras,rara,NOUN,NOUN,conj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
de,de,ADP,ADP,case,xx,True,True
vasta,vasto,ADJ,ADJ,amod,xxxx,True,False
amplitude,amplitude,NOUN,NOUN,conj,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
de,de,ADP,ADP,case,xx,True,True
força,força,NOUN,NOUN,conj,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
energia,energia,NOUN,NOUN,conj,xxxx,True,False
inesgotável,inesgotável,ADJ,ADJ,amod,xxxx,True,False
:,:,PUNCT,PUNCT,punct,:,False,False
uma,um,DET,DET,det,xxx,True,True
árvore,árvore,NOUN,NOUN,obl,xxxx,True,False
mágica,mágico,ADJ,ADJ,amod,xxxx,True,False
;,;,PUNCT,PUNCT,punct,;,False,False
um,um,DET,DET,det,xx,True,True
imenso,imenso,ADJ,ADJ,amod,xxxx,True,False
oceano,oceano,NOUN,NOUN,appos,xxxx,True,False
;,;,PUNCT,PUNCT,punct,;,False,False
uma,um,DET,DET,det,xxx,True,True
pedra,pedra,NOUN,NOUN,appos,xxxx,True,False
preciosa,precioso,ADJ,ADJ,amod,xxxx,True,False
;,;,PUNCT,PUNCT,punct,;,False,False
a,o,DET,DET,det,x,True,True
lua,lua,NOUN,NOUN,ROOT,xxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
o,o,DET,DET,det,x,True,True
sol,sol,NOUN,NOUN,conj,xxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
O,o,DET,DET,det,X,True,True
bodisatva,bodisatva,NOUN,NOUN,nsubj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
aquele,aquele,DET,DET,nsubj,xxxx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
faz,fazer,VERB,VERB,acl:relcl,xxx,True,True
o,o,DET,DET,det,x,True,True
voto,voto,NOUN,NOUN,obj,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
bodicita,bodicita,NOUN,NOUN,nmod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
age,age,NOUN,NOUN,conj,xxx,True,False
de,de,ADP,ADP,case,xx,True,True
acordo,acordo,NOUN,NOUN,nmod,xxxx,True,False
com,com,ADP,ADP,case,xxx,True,True
essa,esse,DET,DET,det,xxxx,True,True
motivação,motivação,NOUN,NOUN,nmod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
possui,possuir,VERB,VERB,ROOT,xxxx,True,False
o,o,DET,DET,det,x,True,True
extraordinário,extraordinário,ADJ,ADJ,amod,xxxx,True,False
poder,poder,NOUN,NOUN,obj,xxxx,True,True
de,de,SCONJ,SCONJ,mark,xx,True,True
beneficiar,beneficiar,VERB,VERB,acl,xxxx,True,False
os,o,DET,DET,det,xx,True,True
outros,outro,PRON,PRON,obj,xxxx,True,True
em,em,ADP,ADP,case,xx,True,True
qualquer,qualquer,DET,DET,det,xxxx,True,True
circunstância,circunstância,NOUN,NOUN,obl,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
de,de,ADP,ADP,case,xx,True,True
diferentes,diferente,DET,DET,det,xxxx,True,False
meios,meio,NOUN,NOUN,nmod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
formas,forma,NOUN,NOUN,conj,xxxx,True,False
:,:,PUNCT,PUNCT,punct,:,False,False
como,como,ADP,ADP,case,xxxx,True,True
um,um,DET,DET,det,xx,True,True
 , ,SPACE,SPACE,dep, ,False,False
médico,médico,NOUN,NOUN,dep,xxxx,True,False
(,(,PUNCT,PUNCT,punct,(,False,False
ou,ou,CCONJ,CCONJ,cc,xx,True,True
o,o,DET,DET,det,x,True,True
próprio,próprio,DET,DET,det,xxxx,True,True
remédio,remédio,NOUN,NOUN,conj,xxxx,True,False
),),PUNCT,PUNCT,punct,),False,False
",",",",PUNCT,PUNCT,punct,",",False,False
uma,um,DET,DET,det,xxx,True,True
ponte,ponte,NOUN,NOUN,conj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
um,um,DET,DET,det,xx,True,True
barco,barco,NOUN,NOUN,appos,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
uma,um,DET,DET,det,xxx,True,True
lamparina,lamparina,NOUN,NOUN,conj,xxxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
O,o,DET,DET,det,X,True,True
refúgio,refúgio,NOUN,NOUN,nsubj,xxxx,True,False
é,ser,AUX,AUX,cop,x,True,True
o,o,DET,DET,det,x,True,True
reconhecimento,reconhecimento,NOUN,NOUN,ROOT,xxxx,True,False
verdadeiro,verdadeiro,ADJ,ADJ,amod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
aceitação,aceitação,NOUN,NOUN,conj,xxxx,True,False
profunda,profundo,ADJ,ADJ,amod,xxxx,True,False
das,de o,ADP,ADP,case,xxx,True,True
três,três,NUM,NUM,nummod,xxxx,True,True
jóias,jóia,NOUN,NOUN,nmod,xxxx,True,False
:,:,PUNCT,PUNCT,punct,:,False,False
o,o,DET,DET,det,x,True,True
Buda,Buda,PROPN,PROPN,appos,Xxxx,True,False
-,-,PUNCT,PUNCT,punct,-,False,False
a,o,DET,DET,det,x,True,True
mente,mente,NOUN,NOUN,conj,xxxx,True,False
desperta,desperto,ADJ,ADJ,nmod,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
habita,habitar,VERB,VERB,acl:relcl,xxxx,True,False
em,em,ADP,ADP,case,xx,True,True
nós,nós,PRON,PRON,obl,xxx,True,True
;,;,PUNCT,PUNCT,punct,;,False,False
o,o,DET,DET,det,x,True,True
Darma,Darma,PROPN,PROPN,appos,Xxxxx,True,False
-,-,PUNCT,PUNCT,punct,-,False,False
a,o,DET,DET,det,x,True,True
sabedoria,sabedoria,NOUN,NOUN,conj,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
brota,broto,NOUN,NOUN,acl:relcl,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
mente,mente,NOUN,NOUN,obl,xxxx,True,False
desperta,desperto,VERB,VERB,acl,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
livre,livre,ADJ,ADJ,amod,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
obscurecimentos,obscurecimento,NOUN,NOUN,obl,xxxx,True,False
;,;,PUNCT,PUNCT,punct,;,False,False
e,e,CCONJ,CCONJ,cc,x,True,True
a,o,DET,DET,det,x,True,True
sanga,sanga,NOUN,NOUN,conj,xxxx,True,False
-,-,PUNCT,PUNCT,punct,-,False,False
o,o,DET,DET,det,x,True,True
convívio,convívio,NOUN,NOUN,appos,xxxx,True,False
alegre,alegre,ADJ,ADJ,amod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
compassivo,compassivo,ADJ,ADJ,conj,xxxx,True,False
com,com,ADP,ADP,case,xxx,True,True
os,o,DET,DET,det,xx,True,True
praticantes,praticante,NOUN,NOUN,nmod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
todos,todo,DET,DET,det,xxxx,True,True
os,o,DET,DET,det,xx,True,True
seres,ser,NOUN,NOUN,conj,xxxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
Os,o,DET,DET,det,Xx,True,True
méritos,mérito,NOUN,NOUN,nsubj,xxxx,True,False
são,ser,AUX,AUX,cop,xxx,True,True
o,o,DET,DET,det,x,True,True
próprio,próprio,ADJ,ADJ,amod,xxxx,True,True
terreno,terreno,NOUN,NOUN,ROOT,xxxx,True,False
fertilizado,fertilizar,VERB,VERB,acl,xxxx,True,False
por,por,ADP,ADP,case,xxx,True,True
ações,ação,NOUN,NOUN,obl:agent,xxxx,True,False
virtuosas,virtuoso,ADJ,ADJ,amod,xxxx,True,False
-,-,PUNCT,PUNCT,punct,-,False,False
o,o,DET,DET,det,x,True,True
campo,campo,NOUN,NOUN,appos,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
cultivo,cultivo,NOUN,NOUN,nmod,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
bodicita,bodicita,NOUN,NOUN,nmod,xxxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
 
","
 
",SPACE,SPACE,dep,"
 
",False,False
Natureza,natureza,NOUN,NOUN,ROOT,Xxxxx,True,False
búdica,búdico,ADJ,ADJ,amod,xxxx,True,False
"

","

",SPACE,SPACE,dep,"

",False,False
1,1,NUM,NUM,obj,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
A,o,DET,DET,det,X,True,True
natureza,natureza,NOUN,NOUN,nsubj,xxxx,True,False
búdica,búdico,ADJ,ADJ,amod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
a,o,DET,DET,det,x,True,True
causa,causa,NOUN,NOUN,appos,xxxx,True,False
primária,primário,ADJ,ADJ,amod,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
iluminação,iluminação,NOUN,NOUN,nmod,xxxx,True,False
é,ser,VERB,VERB,cop,x,True,True
como,como,ADP,ADP,case,xxxx,True,True
a,o,DET,DET,det,x,True,True
semente,semente,NOUN,NOUN,ROOT,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
mostarda,mostarda,NOUN,NOUN,nmod,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
está,estar,AUX,AUX,cop,xxxx,True,True
permeada,permeado,ADJ,ADJ,acl:relcl,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
óleo,óleo,NOUN,NOUN,obl,xxxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
Não,não,ADV,ADV,advmod,Xxx,True,True
há,haver,VERB,VERB,ROOT,xx,True,False
diferença,diferença,NOUN,NOUN,obj,xxxx,True,False
entre,entre,ADP,ADP,case,xxxx,True,True
o,o,DET,DET,det,x,True,True
óleo,óleo,NOUN,NOUN,nmod,xxxx,True,False
na,em o,ADP,ADP,case,xx,True,True
semente,semente,NOUN,NOUN,obl,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
o,o,DET,DET,det,x,True,True
óleo,óleo,NOUN,NOUN,conj,xxxx,True,False
na,em o,ADP,ADP,case,xx,True,True
jarra,jarra,NOUN,NOUN,nmod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
assim,assim,ADV,ADV,advmod,xxxx,True,True
como,como,ADP,ADP,fixed,xxxx,True,True
:,:,PUNCT,PUNCT,punct,:,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
a.,A.,PROPN,PROPN,appos,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
a,o,DET,DET,det,x,True,True
manteiga,manteiga,NOUN,NOUN,appos,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
se,se,PRON,PRON,expl,xx,True,True
encontra,encontrar,VERB,VERB,acl:relcl,xxxx,True,False
no,em o,ADP,ADP,case,xx,True,True
leite,leite,NOUN,NOUN,obl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
GAMPOPA,GAMPOPA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
p.,p.,NOUN,NOUN,conj,x.,False,False
332,332,NUM,NUM,nummod,ddd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
b.,b.,NOUN,NOUN,case,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
a,o,DET,DET,det,x,True,True
prata,prata,NOUN,NOUN,ROOT,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
se,se,PRON,PRON,expl,xx,True,True
encontra,encontrar,VERB,VERB,acl:relcl,xxxx,True,False
na,em o,ADP,ADP,case,xx,True,True
pepita,pepita,NOUN,NOUN,obl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
GAMPOPA,GAMPOPA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
p.,p.,NOUN,NOUN,conj,x.,False,False
332,332,NUM,NUM,nummod,ddd,False,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
 
","
 
",SPACE,SPACE,dep,"
 
",False,False
Bodicita,Bodicita,NOUN,NOUN,ROOT,Xxxxx,True,False
"

","

",SPACE,SPACE,dep,"

",False,False
2,2,NUM,NUM,nummod,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
A,o,DET,DET,det,X,True,True
atitude,atitude,NOUN,NOUN,nsubj,xxxx,True,False
iluminada,iluminado,ADJ,ADJ,acl,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
a,o,DET,DET,det,x,True,True
bodicita,bodicita,NOUN,NOUN,nsubj,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
que,que,PRON,PRON,nsubj,xxx,True,True
busca,buscar,VERB,VERB,acl:relcl,xxxx,True,False
levar,levar,VERB,VERB,xcomp,xxxx,True,False
todos,todo,DET,DET,det,xxxx,True,True
os,o,DET,DET,fixed,xx,True,True
seres,ser,NOUN,NOUN,obj,xxxx,True,False
ao,a o,ADP,ADP,case,xx,True,True
estado,estado,NOUN,NOUN,obl,xxxx,True,True
da,de o,ADP,ADP,case,xx,True,True
bem-aventurança,bem-aventurança,NOUN,NOUN,nmod,xxx-xxxx,False,False
é,ser,VERB,VERB,cop,x,True,True
como,como,ADP,ADP,case,xxxx,True,True
:,:,PUNCT,PUNCT,punct,:,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
a.,A.,NOUN,NOUN,nsubj,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
uma,um,DET,DET,det,xxx,True,True
árvore,árvore,NOUN,NOUN,appos,xxxx,True,False
maravilhosa,maravilhoso,ADJ,ADJ,amod,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
dá,dar,VERB,VERB,acl:relcl,xx,True,True
fruto,fruto,PROPN,PROPN,obj,xxxx,True,False
é,ser,AUX,AUX,cop,x,True,True
cresce,crescer,VERB,VERB,parataxis,xxxx,True,False
sem,sem,SCONJ,SCONJ,mark,xxx,True,True
cessar,cessar,VERB,VERB,advcl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,parataxis,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
1.13,1.13,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
b.,b.,NOUN,NOUN,obl,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
um,um,DET,DET,det,xx,True,True
oceano,oceano,NOUN,NOUN,appos,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
imenso,imenso,ADJ,ADJ,amod,xxxx,True,False
benefício,benefício,NOUN,NOUN,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.4,3.4,NUM,NUM,conj,d.d,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
c.,c.,NOUN,NOUN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
a,o,DET,DET,det,x,True,True
árvore,árvore,NOUN,NOUN,nsubj,xxxx,True,False
do,de o,ADP,ADP,case,xx,True,True
descanso,descanso,NOUN,NOUN,nmod,xxxx,True,False
para,para,ADP,ADP,case,xxxx,True,True
os,o,PRON,PRON,nmod,xx,True,True
que,que,PRON,PRON,nsubj,xxx,True,True
perambulam,perambular,VERB,VERB,acl:relcl,xxxx,True,False
exaustos,exausto,NOUN,NOUN,obj,xxxx,True,False
pelos,por o,ADP,ADP,case,xxxx,True,True
caminhos,caminho,NOUN,NOUN,nmod,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
existência,existência,NOUN,NOUN,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.30,3.30,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
d.,d.,PROPN,PROPN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
a,o,DET,DET,det,x,True,True
lua,lua,NOUN,NOUN,nsubj,xxx,True,False
crescente,crescente,ADJ,ADJ,amod,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
mente,mente,NOUN,NOUN,nmod,xxxx,True,False
iluminada,iluminado,ADJ,ADJ,acl,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
alivia,aliviar,VERB,VERB,acl:relcl,xxxx,True,False
as,o,DET,DET,det,xx,True,True
penas,pena,NOUN,NOUN,obj,xxxx,True,False
das,de o,ADP,ADP,case,xxx,True,True
aflições,aflição,NOUN,NOUN,nmod,xxxx,True,False
mentais,mental,ADJ,ADJ,amod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.31,3.31,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
e.,e.,PROPN,PROPN,ROOT,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
um,um,NUM,NUM,nummod,xx,True,True
sol,sol,NOUN,NOUN,appos,xxx,True,False
potente,potente,ADJ,ADJ,amod,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
dissipa,dissipar,VERB,VERB,acl:relcl,xxxx,True,False
inteiramente,inteiramente,ADV,ADV,advmod,xxxx,True,False
a,o,DET,DET,det,x,True,True
ignorância,ignorância,NOUN,NOUN,obj,xxxx,True,False
nebulosa,nebuloso,ADJ,ADJ,amod,xxxx,True,False
dos,de o,ADP,ADP,case,xxx,True,True
seres,ser,NOUN,NOUN,nmod,xxxx,True,False
errantes,errante,ADJ,ADJ,amod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
SHANTIDEVA,SHANTIDEVA,PROPN,PROPN,appos,XXXX,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
3.32,3.32,NUM,NUM,conj,d.dd,False,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
i.,i.,NOUN,NOUN,appos,x.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Uma,um,DET,DET,det,Xxx,True,True
vasta,vasto,ADJ,ADJ,amod,xxxx,True,False
planície,planície,NOUN,NOUN,ROOT,xxxx,True,False
verdejante,verdejante,ADV,ADV,amod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
cercada,cercar,VERB,VERB,acl,xxxx,True,False
por,por,ADP,ADP,case,xxx,True,True
montanhas,montanha,NOUN,NOUN,obl:agent,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
benefícios,benefício,NOUN,NOUN,nmod,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
ii,ii,ADV,ADV,parataxis,xx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
O,o,DET,DET,det,X,True,True
colo,colo,NOUN,NOUN,ROOT,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
bondosa,bondoso,ADJ,ADJ,amod,xxxx,True,False
mãe,mãe,ADJ,ADJ,nmod,xxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
onde,onde,PRON,PRON,obl,xxxx,True,True
repousa,repouso,ADJ,ADJ,acl:relcl,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
finalmente,finalmente,ADV,ADV,advmod,xxxx,True,False
",",",",PUNCT,PUNCT,punct,",",False,False
a,o,DET,DET,det,x,True,True
cabeça,cabeça,NOUN,NOUN,appos,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
criança,criança,NOUN,NOUN,nmod,xxxx,True,False
antes,antes,ADV,ADV,advmod,xxxx,True,True
aflita,aflitar,VERB,VERB,acl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,obj,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
iii,iii,NOUN,NOUN,conj,xxx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Um,um,DET,DET,det,Xx,True,True
céu,céu,NOUN,NOUN,ROOT,xxx,True,False
azul,azul,ADJ,ADJ,amod,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
se,se,PRON,PRON,expl,xx,True,True
descortina,descortinar,VERB,VERB,acl:relcl,xxxx,True,False
após,após,ADP,ADP,case,xxxx,True,True
uma,um,DET,DET,det,xxx,True,True
grande,grande,ADJ,ADJ,amod,xxxx,True,True
tempestade,tempestade,NOUN,NOUN,obl,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
;,;,PUNCT,PUNCT,punct,;,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
iv,iv,NOUN,NOUN,parataxis,xx,True,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Uma,um,DET,DET,det,Xxx,True,True
fonte,fonte,NOUN,NOUN,ROOT,xxxx,True,False
incessante,incessante,ADJ,ADJ,amod,xxxx,True,False
de,de,ADP,ADP,case,xx,True,True
água,água,NOUN,NOUN,nmod,xxxx,True,False
fresca,fresco,ADJ,ADJ,amod,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
pura,puro,ADJ,ADJ,conj,xxxx,True,False
[,[,PUNCT,PUNCT,punct,[,False,False
APRENDIZ,APRENDIZ,PROPN,PROPN,appos,XXXX,True,False
],_,PUNCT,PUNCT,punct,],False,False
.,.,PUNCT,PUNCT,punct,.,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
3,3,NUM,NUM,appos,d,False,False
.,.,PUNCT,PUNCT,punct,.,False,False
	,	,SPACE,SPACE,dep,	,False,False
O,o,DET,DET,det,X,True,True
despertar,despertar,VERB,VERB,csubj,xxxx,True,False
da,de o,ADP,ADP,case,xx,True,True
bodicita,bodicita,NOUN,NOUN,obj,xxxx,True,False
é,ser,VERB,VERB,ROOT,x,True,True
como,como,ADP,ADP,case,xxxx,True,True
um,um,DET,DET,det,xx,True,True
cego,cego,NOUN,NOUN,obl,xxxx,True,False
que,que,PRON,PRON,nsubj,xxx,True,True
encontra,encontrar,VERB,VERB,acl:relcl,xxxx,True,False
uma,um,DET,DET,det,xxx,True,True
pedra,pedra,NOUN,NOUN,obj,xxxx,True,False
preciosa,precioso,ADJ,ADJ,amod,xxxx,True,False
em,em,ADP,ADP,case,xx,True,True
um,um,DET,DET,det,xx,True,True
